,top-f1,top-std,last-f1,last-std
,0.8313899834950765,0.014341790116210621,0.8165253467029995,0.02244063645337595
flip,0.8435586712978504,0.013917888349510427,0.8150296299545854,0.04181207599345299
rotate,0.8512520238205239,0.014289788490748068,0.8338762974297559,0.007607847234376462
brightness,0.8368664847479926,0.006374592153387785,0.8155535597492148,0.034975000724066944
shadow,0.8358612193001642,0.011436997460884023,0.8274240493774414,0.013765322249155398
coarse dropout,0.8401277992460462,0.005436823817278533,0.823945038848453,0.019549730646599945
"flip, rotate",0.844830729343273,0.016449593405153715,0.8399559281490467,0.01765525006065174
"flip, brightness",0.8496293889151678,0.01488527353699628,0.8303016942960245,0.024848319478509982
"flip, shadow",0.8478468038417675,0.01659488888915528,0.8285938390979061,0.025433745203859857
"flip, coarse dropout",0.8427983235429833,0.009798041922914287,0.8379344167532744,0.010434740814125784
"rotate, brightness",0.854938131791574,0.008415837711408336,0.8457110789087082,0.022956509219035404
"rotate, shadow",0.8495349861957409,0.013429714347450373,0.8495349861957409,0.013429714347450373
"rotate, coarse dropout",0.8522219017699912,0.010185117735313345,0.8433026340272692,0.005530043518545279
"brightness, shadow",0.8319500618510777,0.008898517441411024,0.8112625965365657,0.018958942483193256
"brightness, coarse dropout",0.8389359734676503,0.012145554152408668,0.836060623327891,0.015098683383340254
"shadow, coarse dropout",0.8315100382875512,0.01357800400720045,0.8136971979229539,0.0358922033294979
